* T-Spice 13.00 Simulation	Tue Apr 24 17:39:19 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NAND_Gate\4_Input_NAND_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_5 is attached to only one device (MNMOS_3)
* Warning : Node N_7 is attached to only one device (MNMOS_4)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 4                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 8                    Boundary nodes - 6       
*         Total nodes - 14      

* *** 4 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   2e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 2.003913e-008  0.0000e+000  0.0000e+000  1.9566e-001  4.8043e+000  5.0000e+000
 2.007679e-008  0.0000e+000  0.0000e+000  3.8396e-001  4.6160e+000  5.0000e+000
 2.009562e-008  0.0000e+000  0.0000e+000  4.7811e-001  4.5219e+000  5.0000e+000
 2.013250e-008  0.0000e+000  0.0000e+000  6.6253e-001  4.3375e+000  5.0000e+000
 2.015094e-008  0.0000e+000  0.0000e+000  7.5474e-001  4.2453e+000  5.0000e+000
 2.016016e-008  0.0000e+000  0.0000e+000  8.0084e-001  4.1992e+000  5.0000e+000
 2.016477e-008  0.0000e+000  0.0000e+000  8.2390e-001  4.1761e+000  5.0000e+000
 2.017090e-008  0.0000e+000  0.0000e+000  8.5454e-001  4.1455e+000  5.0000e+000
 2.017772e-008  0.0000e+000  0.0000e+000  8.8861e-001  4.1114e+000  5.0000e+000
 2.018467e-008  0.0000e+000  0.0000e+000  9.2336e-001  4.0766e+000  5.0000e+000
 2.018814e-008  0.0000e+000  0.0000e+000  9.4073e-001  4.0593e+000  5.0000e+000
 2.0189883e-008  0.0000e+000  0.0000e+000  9.4942e-001  4.0506e+000  5.0000e+000
 2.019671e-008  0.0000e+000  0.0000e+000  9.8357e-001  4.0164e+000  5.0000e+000
 2.021446e-008  0.0000e+000  0.0000e+000  1.0723e+000  3.9277e+000  5.0000e+000
 2.022334e-008  0.0000e+000  0.0000e+000  1.1167e+000  3.8833e+000  5.0000e+000
 2.024866e-008  0.0000e+000  0.0000e+000  1.2433e+000  3.7567e+000  5.0000e+000
 2.029144e-008  0.0000e+000  0.0000e+000  1.4572e+000  3.5428e+000  5.0000e+000
 2.034703e-008  0.0000e+000  0.0000e+000  1.7352e+000  3.2648e+000  5.0000e+000
 2.041044e-008  0.0000e+000  0.0000e+000  2.0522e+000  2.9478e+000  5.0000e+000
 2.048530e-008  0.0000e+000  0.0000e+000  2.4265e+000  2.5735e+000  5.0000e+000
 2.057493e-008  0.0000e+000  0.0000e+000  2.8747e+000  2.1253e+000  5.0000e+000
 2.068286e-008  0.0000e+000  0.0000e+000  3.4143e+000  1.5857e+000  5.0000e+000
 2.079078e-008  0.0000e+000  0.0000e+000  3.9539e+000  1.0461e+000  5.0000e+000
 2.089871e-008  0.0000e+000  0.0000e+000  4.4936e+000  5.0643e-001  5.0000e+000
 2.098701e-008  0.0000e+000  0.0000e+000  4.9351e+000  6.4907e-002  5.0000e+000
 2.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.103062e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.133687e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.149000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.225288e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.425288e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.625288e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.825288e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 3.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 3.025000e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.2500e+000  5.0000e+000
 3.037500e-008  0.0000e+000  0.0000e+000  5.0000e+000  1.8750e+000  5.0000e+000
 3.049312e-008  0.0000e+000  0.0000e+000  5.0000e+000  2.4656e+000  5.0000e+000
 3.061449e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.0725e+000  5.0000e+000
 3.072439e-008  0.0000e+000  0.0000e+000  5.0000e+000  3.6220e+000  5.0000e+000
 3.081936e-008  0.0000e+000  0.0000e+000  5.0000e+000  4.0968e+000  5.0000e+000
 3.091432e-008  0.0000e+000  0.0000e+000  5.0000e+000  4.5716e+000  5.0000e+000
 3.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.108567e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.194238e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.394238e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.594238e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.794238e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.994238e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 4.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 4.001256e-008  0.0000e+000  6.2804e-002  4.9372e+000  4.9372e+000  5.0000e+000
 4.001767e-008  0.0000e+000  8.8368e-002  4.9116e+000  4.9116e+000  5.0000e+000
 4.003689e-008  0.0000e+000  1.8447e-001  4.8155e+000  4.8155e+000  5.0000e+000
 4.007415e-008  0.0000e+000  3.7078e-001  4.6292e+000  4.6292e+000  5.0000e+000
 4.009278e-008  0.0000e+000  4.6394e-001  4.5361e+000  4.5361e+000  5.0000e+000
 4.012947e-008  0.0000e+000  6.4739e-001  4.3526e+000  4.3526e+000  5.0000e+000
 4.014300e-008  0.0000e+000  7.1500e-001  4.2850e+000  4.2850e+000  5.0000e+000
 4.014976e-008  0.0000e+000  7.4881e-001  4.2512e+000  4.2512e+000  5.0000e+000
 4.0153142e-008  0.0000e+000  7.6571e-001  4.2343e+000  4.2343e+000  5.0000e+000
 4.016165e-008  0.0000e+000  8.0828e-001  4.1917e+000  4.1917e+000  5.0000e+000
 4.017421e-008  0.0000e+000  8.7107e-001  4.1289e+000  4.1289e+000  5.0000e+000
 4.018719e-008  0.0000e+000  9.3599e-001  4.0640e+000  4.0640e+000  5.0000e+000
