* T-Spice 13.00 Simulation	Tue Apr 24 17:07:39 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\3_Input_NAND_Gate\3_Input_NAND_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node N_1 is attached to only one device (MNMOS_1)
* Warning : Node N_3 is attached to only one device (MNMOS_2)
* Warning : Node N_5 is attached to only one device (MNMOS_3)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 3                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 4                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 6                    Boundary nodes - 5       
*         Total nodes - 11      

* *** 3 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vout)<V>
 2.018633e-008  0.0000e+000  9.3168e-001  4.0683e+000  5.0000e+000
 2.019302e-008  0.0000e+000  9.6511e-001  4.0349e+000  5.0000e+000
 2.019969e-008  0.0000e+000  9.9848e-001  4.0015e+000  5.0000e+000
 2.020303e-008  0.0000e+000  1.0152e+000  3.9848e+000  5.0000e+000
 2.0204701e-008  0.0000e+000  1.0235e+000  3.9765e+000  5.0000e+000
 2.021387e-008  0.0000e+000  1.0694e+000  3.9306e+000  5.0000e+000
 2.023961e-008  0.0000e+000  1.1981e+000  3.8019e+000  5.0000e+000
 2.028273e-008  0.0000e+000  1.4137e+000  3.5863e+000  5.0000e+000
 2.033855e-008  0.0000e+000  1.6928e+000  3.3072e+000  5.0000e+000
 2.040205e-008  0.0000e+000  2.0103e+000  2.9897e+000  5.0000e+000
 2.047610e-008  0.0000e+000  2.3805e+000  2.6195e+000  5.0000e+000
 2.056430e-008  0.0000e+000  2.8215e+000  2.1785e+000  5.0000e+000
 2.067029e-008  0.0000e+000  3.3515e+000  1.6485e+000  5.0000e+000
 2.077836e-008  0.0000e+000  3.8918e+000  1.1082e+000  5.0000e+000
 2.088642e-008  0.0000e+000  4.4321e+000  5.6787e-001  5.0000e+000
 2.097478e-008  0.0000e+000  4.8739e+000  1.2607e-001  5.0000e+000
 2.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.104268e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.106402e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.127743e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.184569e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.384569e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.584569e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.784569e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 2.984569e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 3.000000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000
 3.025000e-008  0.0000e+000  5.0000e+000  1.2500e+000  5.0000e+000
 3.037500e-008  0.0000e+000  5.0000e+000  1.8750e+000  5.0000e+000
 3.049312e-008  0.0000e+000  5.0000e+000  2.4656e+000  5.0000e+000
 3.061449e-008  0.0000e+000  5.0000e+000  3.0725e+000  5.0000e+000
 3.072447e-008  0.0000e+000  5.0000e+000  3.6224e+000  5.0000e+000
 3.081953e-008  0.0000e+000  5.0000e+000  4.0977e+000  5.0000e+000
 3.091458e-008  0.0000e+000  5.0000e+000  4.5729e+000  5.0000e+000
 3.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.108541e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.193955e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.393955e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.593955e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.793955e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 3.993955e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 4.000000e-008  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000
 4.001202e-008  6.0140e-002  4.9399e+000  4.9399e+000  5.0030e+000
 4.001687e-008  8.4365e-002  4.9156e+000  4.9156e+000  5.0033e+000
