* T-Spice 13.00 Simulation	Tue Apr 24 19:10:00 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\MUX_4x1\MUX_4x1.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : Node X4_Input_NAND_Gate_1.N_1 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_1)
* Warning : Node X4_Input_NAND_Gate_1.N_3 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_2)
* Warning : Node X4_Input_NAND_Gate_1.N_5 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_3)
* Warning : Node X4_Input_NAND_Gate_1.N_7 is attached to only one device (X4_Input_NAND_Gate_1.MNMOS_4)
* Warning : Node X4_Input_NAND_Gate_2.N_1 is attached to only one device (X4_Input_NAND_Gate_2.MNMOS_1)
*
* Warning : Disabling printout of duplicate warning messages.
*         : 	Use '.options maxmsg=0' to view all warnings,
*         : 	or increase maxmsg from 5 to view more messages.
*

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 27                MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 12      
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 8                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 12      
*   Independent nodes - 40                   Boundary nodes - 9       
*         Total nodes - 49      

* *** 6 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-007
TRANSIENT ANALYSIS
Time<s>           v(s0)<V>     v(s1)<V>   v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 3.0247438e-008  5.0000e+000  1.2372e+000  3.7628e+000  1.2372e+000  5.0000e+000  1.2372e+000  1.3154e+000
 3.0247943e-008  5.0000e+000  1.2397e+000  3.7603e+000  1.2397e+000  5.0000e+000  1.2397e+000  1.3156e+000
 3.025192e-008  5.0000e+000  1.2596e+000  3.7404e+000  1.2596e+000  5.0000e+000  1.2596e+000  1.3180e+000
 3.0253919e-008  5.0000e+000  1.2696e+000  3.7304e+000  1.2696e+000  5.0000e+000  1.2696e+000  1.3198e+000
 3.026518e-008  5.0000e+000  1.3259e+000  3.6741e+000  1.3259e+000  5.0000e+000  1.3259e+000  1.3294e+000
 3.029371e-008  5.0000e+000  1.4686e+000  3.5314e+000  1.4686e+000  5.0000e+000  1.4686e+000  1.3471e+000
 3.030798e-008  5.0000e+000  1.5399e+000  3.4601e+000  1.5399e+000  5.0000e+000  1.5399e+000  1.3549e+000
 3.033728e-008  5.0000e+000  1.6864e+000  3.3136e+000  1.6864e+000  5.0000e+000  1.6864e+000  1.3772e+000
 3.037731e-008  5.0000e+000  1.8866e+000  3.1134e+000  1.8866e+000  5.0000e+000  1.8866e+000  1.4195e+000
 3.041999e-008  5.0000e+000  2.1000e+000  2.9000e+000  2.1000e+000  5.0000e+000  2.1000e+000  1.4767e+000
 3.044133e-008  5.0000e+000  2.2067e+000  2.7933e+000  2.2067e+000  5.0000e+000  2.2067e+000  1.5034e+000
 3.047154e-008  5.0000e+000  2.3577e+000  2.6423e+000  2.3577e+000  5.0000e+000  2.3577e+000  1.5281e+000
 3.048664e-008  5.0000e+000  2.4332e+000  2.5668e+000  2.4332e+000  5.0000e+000  2.4332e+000  1.5363e+000
 3.051077e-008  5.0000e+000  2.5539e+000  2.4461e+000  2.5539e+000  5.0000e+000  2.5539e+000  1.5437e+000
 3.054296e-008  5.0000e+000  2.7148e+000  2.2852e+000  2.7148e+000  5.0000e+000  2.7148e+000  1.5442e+000
 3.058285e-008  5.0000e+000  2.9143e+000  2.0857e+000  2.9143e+000  5.0000e+000  2.9143e+000  1.5486e+000
 3.063712e-008  5.0000e+000  3.1856e+000  1.8144e+000  3.1856e+000  5.0000e+000  3.1856e+000  1.5763e+000
 3.070694e-008  5.0000e+000  3.5347e+000  1.4653e+000  3.5347e+000  5.0000e+000  3.5347e+000  1.6306e+000
 3.077982e-008  5.0000e+000  3.8991e+000  1.1009e+000  3.8991e+000  5.0000e+000  3.8991e+000  1.6980e+000
 3.085239e-008  5.0000e+000  4.2620e+000  7.3802e-001  4.2620e+000  5.0000e+000  4.2620e+000  1.7789e+000
 3.092480e-008  5.0000e+000  4.6240e+000  3.7598e-001  4.6240e+000  5.0000e+000  4.6240e+000  1.8746e+000
 3.099713e-008  5.0000e+000  4.9857e+000  1.4333e-002  4.9857e+000  5.0000e+000  4.9857e+000  1.9963e+000
 3.1000000e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0020e+000
 3.101439e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0200e+000
 3.115830e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0318e+000
 3.123026e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0326e+000
 3.155574e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0308e+000
 3.261817e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0308e+000
 3.461817e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0294e+000
 3.661817e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0299e+000
 3.861817e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0288e+000
 4.000000e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0295e+000
 4.001540e-008  4.9230e+000  4.9230e+000  7.7044e-002  4.9230e+000  4.9230e+000  4.9230e+000  2.0086e+000
 4.010540e-008  4.4730e+000  4.4730e+000  5.2703e-001  4.4730e+000  4.4730e+000  4.4730e+000  1.7934e+000
 4.015040e-008  4.2480e+000  4.2480e+000  7.5203e-001  4.2480e+000  4.2480e+000  4.2480e+000  1.7146e+000
 4.020742e-008  3.9629e+000  3.9629e+000  1.0371e+000  3.9629e+000  3.9629e+000  3.9629e+000  1.6434e+000
 4.027160e-008  3.6420e+000  3.6420e+000  1.3580e+000  3.6420e+000  3.6420e+000  3.6420e+000  1.5812e+000
 4.033970e-008  3.3015e+000  3.3015e+000  1.6985e+000  3.3015e+000  3.3015e+000  3.3015e+000  1.5309e+000
 4.040984e-008  2.9508e+000  2.9508e+000  2.0492e+000  2.9508e+000  2.9508e+000  2.9508e+000  1.5073e+000
 4.047875e-008  2.6062e+000  2.6062e+000  2.3938e+000  2.6062e+000  2.6062e+000  2.6062e+000  1.5188e+000
 4.053562e-008  2.3219e+000  2.3219e+000  2.6781e+000  2.3219e+000  2.3219e+000  2.3219e+000  1.5486e+000
 4.058144e-008  2.0928e+000  2.0928e+000  2.9072e+000  2.0928e+000  2.0928e+000  2.0928e+000  1.5711e+000
 4.062457e-008  1.8771e+000  1.8771e+000  3.1229e+000  1.8771e+000  1.8771e+000  1.8771e+000  1.5900e+000
 4.066849e-008  1.6575e+000  1.6575e+000  3.3425e+000  1.6575e+000  1.6575e+000  1.6575e+000  1.6151e+000
 4.071551e-008  1.4224e+000  1.4224e+000  3.5776e+000  1.4224e+000  1.4224e+000  1.4224e+000  1.6519e+000
 4.076786e-008  1.1607e+000  1.1607e+000  3.8393e+000  1.1607e+000  1.1607e+000  1.1607e+000  1.7021e+000
 4.082936e-008  8.5316e-001  8.5316e-001  4.1468e+000  8.5316e-001  8.5316e-001  8.5316e-001  1.7713e+000
 4.086011e-008  6.9942e-001  6.9942e-001  4.3006e+000  6.9942e-001  6.9942e-001  6.9942e-001  1.8084e+000
 4.087549e-008  6.2254e-001  6.2254e-001  4.3775e+000  6.2254e-001  6.2254e-001  6.2254e-001  1.8262e+000
 4.090882e-008  4.5589e-001  4.5589e-001  4.5441e+000  4.5589e-001  4.5589e-001  4.5589e-001  1.8647e+000
 4.095789e-008  2.1054e-001  2.1054e-001  4.7895e+000  2.1054e-001  2.1054e-001  2.1054e-001  1.9132e+000
 4.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9498e+000
 4.105515e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9622e+000
 4.160672e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9641e+000
 4.188250e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9641e+000
 4.322794e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 4.522794e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9641e+000
 4.722794e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 4.922794e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9641e+000
 5.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 5.025000e-008  0.0000e+000  1.2500e+000  3.7500e+000  1.2500e+000  0.0000e+000  0.0000e+000  1.7121e+000
 5.037500e-008  0.0000e+000  1.8750e+000  3.1250e+000  1.8750e+000  0.0000e+000  0.0000e+000  1.5675e+000
 5.043750e-008  0.0000e+000  2.1875e+000  2.8125e+000  2.1875e+000  0.0000e+000  0.0000e+000  1.4985e+000
 5.049061e-008  0.0000e+000  2.4531e+000  2.5469e+000  2.4531e+000  0.0000e+000  0.0000e+000  1.4329e+000
 5.054175e-008  0.0000e+000  2.7088e+000  2.2912e+000  2.7088e+000  0.0000e+000  0.0000e+000  1.3695e+000
 5.059680e-008  0.0000e+000  2.9840e+000  2.0160e+000  2.9840e+000  0.0000e+000  0.0000e+000  1.3273e+000
 5.065995e-008  0.0000e+000  3.2998e+000  1.7002e+000  3.2998e+000  0.0000e+000  0.0000e+000  1.3108e+000
 5.072749e-008  0.0000e+000  3.6375e+000  1.3625e+000  3.6375e+000  0.0000e+000  0.0000e+000  1.3009e+000
 5.079735e-008  0.0000e+000  3.9868e+000  1.0132e+000  3.9868e+000  0.0000e+000  0.0000e+000  1.2940e+000
 5.086840e-008  0.0000e+000  4.3420e+000  6.5798e-001  4.3420e+000  0.0000e+000  0.0000e+000  1.2884e+000
 5.094004e-008  0.0000e+000  4.7002e+000  2.9976e-001  4.7002e+000  0.0000e+000  0.0000e+000  1.2850e+000
 5.097587e-008  0.0000e+000  4.8794e+000  1.2065e-001  4.8794e+000  0.0000e+000  0.0000e+000  1.2852e+000
 5.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2850e+000
 5.104175e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2849e+000
 5.145929e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 5.345929e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 5.445929e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 5.645929e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 5.845929e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 6.000000e-008  1.6544e-014  5.0000e+000  1.6544e-014  5.0000e+000  1.6544e-014  0.0000e+000  1.2848e+000
 6.001463e-008  7.3166e-002  4.9268e+000  7.3166e-002  4.9268e+000  7.3166e-002  0.0000e+000  1.2848e+000
 6.010463e-008  5.2316e-001  4.4768e+000  5.2316e-001  4.4768e+000  5.2316e-001  0.0000e+000  1.2850e+000
 6.014963e-008  7.4816e-001  4.2518e+000  7.4816e-001  4.2518e+000  7.4816e-001  0.0000e+000  1.2867e+000
 6.017213e-008  8.6066e-001  4.1393e+000  8.6066e-001  4.1393e+000  8.6066e-001  0.0000e+000  1.2907e+000
 6.021001e-008  1.0501e+000  3.9499e+000  1.0501e+000  3.9499e+000  1.0501e+000  0.0000e+000  1.3047e+000
 6.026233e-008  1.3117e+000  3.6883e+000  1.3117e+000  3.6883e+000  1.3117e+000  0.0000e+000  1.3264e+000
 6.032253e-008  1.6127e+000  3.3873e+000  1.6127e+000  3.3873e+000  1.6127e+000  0.0000e+000  1.3630e+000
 6.037561e-008  1.8781e+000  3.1219e+000  1.8781e+000  3.1219e+000  1.8781e+000  0.0000e+000  1.4116e+000
 6.042143e-008  2.1072e+000  2.8928e+000  2.1072e+000  2.8928e+000  2.1072e+000  0.0000e+000  1.4488e+000
 6.044433e-008  2.2217e+000  2.7783e+000  2.2217e+000  2.7783e+000  2.2217e+000  0.0000e+000  1.4605e+000
 6.047422e-008  2.3711e+000  2.6289e+000  2.3711e+000  2.6289e+000  2.3711e+000  0.0000e+000  1.4724e+000
 6.050753e-008  2.5377e+000  2.4623e+000  2.5377e+000  2.4623e+000  2.5377e+000  0.0000e+000  1.4762e+000
 6.054317e-008  2.7159e+000  2.2841e+000  2.7159e+000  2.2841e+000  2.7159e+000  0.0000e+000  1.4615e+000
 6.057897e-008  2.8949e+000  2.1051e+000  2.8949e+000  2.1051e+000  2.8949e+000  0.0000e+000  1.4432e+000
 6.061864e-008  3.0932e+000  1.9068e+000  3.0932e+000  1.9068e+000  3.0932e+000  0.0000e+000  1.4274e+000
 6.066043e-008  3.3022e+000  1.6978e+000  3.3022e+000  1.6978e+000  3.3022e+000  0.0000e+000  1.4065e+000
 6.070462e-008  3.5231e+000  1.4769e+000  3.5231e+000  1.4769e+000  3.5231e+000  0.0000e+000  1.3741e+000
 6.074601e-008  3.7301e+000  1.2699e+000  3.7301e+000  1.2699e+000  3.7301e+000  0.0000e+000  1.3466e+000
 6.079074e-008  3.9537e+000  1.0463e+000  3.9537e+000  1.0463e+000  3.9537e+000  0.0000e+000  1.3278e+000
 6.084321e-008  4.2161e+000  7.8395e-001  4.2161e+000  7.8395e-001  4.2161e+000  0.0000e+000  1.3112e+000
 6.090477e-008  4.5239e+000  4.7611e-001  4.5239e+000  4.7611e-001  4.5239e+000  0.0000e+000  1.2998e+000
 6.097147e-008  4.8574e+000  1.4263e-001  4.8574e+000  1.4263e-001  4.8574e+000  0.0000e+000  1.2954e+000
 6.100000e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2946e+000
 6.104539e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2940e+000
 6.149938e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2936e+000
 6.349938e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2935e+000
 6.549938e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2935e+000
 6.749938e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2935e+000
 6.949938e-008  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  1.2935e+000
 7.000000e-008  5.0000e+000  1.6544e-014  5.0000e+000  1.6544e-014  5.0000e+000  1.6544e-014  1.2935e+000
 7.001570e-008  5.0000e+000  7.8540e-002  4.9215e+000  7.8540e-002  5.0000e+000  7.8540e-002  1.2935e+000
 7.010570e-008  5.0000e+000  5.2854e-001  4.4715e+000  5.2854e-001  5.0000e+000  5.2854e-001  1.2934e+000
 7.015070e-008  5.0000e+000  7.5354e-001  4.2465e+000  7.5354e-001  5.0000e+000  7.5354e-001  1.2944e+000
 7.017320e-008  5.0000e+000  8.6604e-001  4.1340e+000  8.6604e-001  5.0000e+000  8.6604e-001  1.2973e+000
 7.020979e-008  5.0000e+000  1.0490e+000  3.9510e+000  1.0490e+000  5.0000e+000  1.0490e+000  1.3085e+000
 7.022808e-008  5.0000e+000  1.1404e+000  3.8596e+000  1.1404e+000  5.0000e+000  1.1404e+000  1.3154e+000
 7.026444e-008  5.0000e+000  1.3222e+000  3.6778e+000  1.3222e+000  5.0000e+000  1.3222e+000  1.3297e+000
 7.031569e-008  5.0000e+000  1.5785e+000  3.4215e+000  1.5785e+000  5.0000e+000  1.5785e+000  1.3591e+000
 7.037293e-008  5.0000e+000  1.8647e+000  3.1353e+000  1.8647e+000  5.0000e+000  1.8647e+000  1.4117e+000
 7.042199e-008  5.0000e+000  2.1100e+000  2.8900e+000  2.1100e+000  5.0000e+000  2.1100e+000  1.4766e+000
 7.044652e-008  5.0000e+000  2.2326e+000  2.7674e+000  2.2326e+000  5.0000e+000  2.2326e+000  1.5045e+000
 7.045879e-008  5.0000e+000  2.2940e+000  2.7060e+000  2.2940e+000  5.0000e+000  2.2940e+000  1.5146e+000
 7.048176e-008  5.0000e+000  2.4088e+000  2.5912e+000  2.4088e+000  5.0000e+000  2.4088e+000  1.5275e+000
 7.051490e-008  5.0000e+000  2.5745e+000  2.4255e+000  2.5745e+000  5.0000e+000  2.5745e+000  1.5364e+000
 7.055719e-008  5.0000e+000  2.7860e+000  2.2140e+000  2.7860e+000  5.0000e+000  2.7860e+000  1.5357e+000
 7.060943e-008  5.0000e+000  3.0472e+000  1.9528e+000  3.0472e+000  5.0000e+000  3.0472e+000  1.5511e+000
 7.067086e-008  5.0000e+000  3.3543e+000  1.6457e+000  3.3543e+000  5.0000e+000  3.3543e+000  1.5924e+000
 7.073749e-008  5.0000e+000  3.6875e+000  1.3125e+000  3.6875e+000  5.0000e+000  3.6875e+000  1.6489e+000
 7.080686e-008  5.0000e+000  4.0343e+000  9.6565e-001  4.0343e+000  5.0000e+000  4.0343e+000  1.7184e+000
 7.087766e-008  5.0000e+000  4.3883e+000  6.1165e-001  4.3883e+000  5.0000e+000  4.3883e+000  1.8022e+000
 7.094919e-008  5.0000e+000  4.7460e+000  2.5404e-001  4.7460e+000  5.0000e+000  4.7460e+000  1.9056e+000
 7.100000e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  1.9987e+000
 7.106058e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0251e+000
 7.158929e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0287e+000
 7.358929e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0284e+000
 7.558929e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0285e+000
 7.758929e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0282e+000
 7.958929e-008  5.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.0000e+000  2.0283e+000
 8.000000e-008  5.0000e+000  5.0000e+000  3.3087e-014  5.0000e+000  5.0000e+000  5.0000e+000  2.0281e+000
 8.001540e-008  4.9230e+000  4.9230e+000  7.7037e-002  4.9230e+000  4.9230e+000  4.9230e+000  2.0076e+000
 8.010540e-008  4.4730e+000  4.4730e+000  5.2703e-001  4.4730e+000  4.4730e+000  4.4730e+000  1.7928e+000
 8.015040e-008  4.2480e+000  4.2480e+000  7.5203e-001  4.2480e+000  4.2480e+000  4.2480e+000  1.7137e+000
 8.017290e-008  4.1355e+000  4.1355e+000  8.6453e-001  4.1355e+000  4.1355e+000  4.1355e+000  1.6832e+000
 8.020768e-008  3.9616e+000  3.9616e+000  1.0384e+000  3.9616e+000  3.9616e+000  3.9616e+000  1.6437e+000
 8.025781e-008  3.7109e+000  3.7109e+000  1.2891e+000  3.7109e+000  3.7109e+000  3.7109e+000  1.5928e+000
 8.031799e-008  3.4100e+000  3.4100e+000  1.5900e+000  3.4100e+000  3.4100e+000  3.4100e+000  1.5442e+000
 8.038393e-008  3.0803e+000  3.0803e+000  1.9197e+000  3.0803e+000  3.0803e+000  3.0803e+000  1.5113e+000
 8.045295e-008  2.7352e+000  2.7352e+000  2.2648e+000  2.7352e+000  2.7352e+000  2.7352e+000  1.5080e+000
 8.051788e-008  2.4106e+000  2.4106e+000  2.5894e+000  2.4106e+000  2.4106e+000  2.4106e+000  1.5372e+000
 8.056742e-008  2.1629e+000  2.1629e+000  2.8371e+000  2.1629e+000  2.1629e+000  2.1629e+000  1.5654e+000
 8.061099e-008  1.9450e+000  1.9450e+000  3.0550e+000  1.9450e+000  1.9450e+000  1.9450e+000  1.5848e+000
 8.065491e-008  1.7254e+000  1.7254e+000  3.2746e+000  1.7254e+000  1.7254e+000  1.7254e+000  1.6049e+000
 8.070062e-008  1.4969e+000  1.4969e+000  3.5031e+000  1.4969e+000  1.4969e+000  1.4969e+000  1.6404e+000
 8.075132e-008  1.2434e+000  1.2434e+000  3.7566e+000  1.2434e+000  1.2434e+000  1.2434e+000  1.6842e+000
 8.080928e-008  9.5355e-001  9.5355e-001  4.0464e+000  9.5355e-001  9.5355e-001  9.5355e-001  1.7486e+000
 8.087400e-008  6.2998e-001  6.2998e-001  4.3700e+000  6.2998e-001  6.2998e-001  6.2998e-001  1.8241e+000
 8.094238e-008  2.8809e-001  2.8809e-001  4.7119e+000  2.8809e-001  2.8809e-001  2.8809e-001  1.8994e+000
 8.097657e-008  1.1714e-001  1.1714e-001  4.8829e+000  1.1714e-001  1.1714e-001  1.1714e-001  1.9293e+000
 8.100000e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9492e+000
 8.104114e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9617e+000
 8.145257e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 8.345257e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 8.545257e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9639e+000
 8.745257e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9640e+000
 8.945257e-008  0.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  0.0000e+000  1.9639e+000
 9.000000e-008  0.0000e+000  8.2718e-015  5.0000e+000  8.2718e-015  0.0000e+000  0.0000e+000  1.9640e+000
 9.025000e-008  0.0000e+000  1.2500e+000  3.7500e+000  1.2500e+000  0.0000e+000  0.0000e+000  1.7121e+000
 9.037500e-008  0.0000e+000  1.8750e+000  3.1250e+000  1.8750e+000  0.0000e+000  0.0000e+000  1.5675e+000
 9.043750e-008  0.0000e+000  2.1875e+000  2.8125e+000  2.1875e+000  0.0000e+000  0.0000e+000  1.4985e+000
 9.049061e-008  0.0000e+000  2.4531e+000  2.5469e+000  2.4531e+000  0.0000e+000  0.0000e+000  1.4329e+000
 9.054199e-008  0.0000e+000  2.7100e+000  2.2900e+000  2.7100e+000  0.0000e+000  0.0000e+000  1.3693e+000
 9.059739e-008  0.0000e+000  2.9870e+000  2.0130e+000  2.9870e+000  0.0000e+000  0.0000e+000  1.3270e+000
 9.066110e-008  0.0000e+000  3.3055e+000  1.6945e+000  3.3055e+000  0.0000e+000  0.0000e+000  1.3106e+000
 9.072894e-008  0.0000e+000  3.6447e+000  1.3553e+000  3.6447e+000  0.0000e+000  0.0000e+000  1.3008e+000
 9.079895e-008  0.0000e+000  3.9948e+000  1.0052e+000  3.9948e+000  0.0000e+000  0.0000e+000  1.2938e+000
 9.087008e-008  0.0000e+000  4.3504e+000  6.4959e-001  4.3504e+000  0.0000e+000  0.0000e+000  1.2883e+000
 9.094176e-008  0.0000e+000  4.7088e+000  2.9118e-001  4.7088e+000  0.0000e+000  0.0000e+000  1.2850e+000
 9.097760e-008  0.0000e+000  4.8880e+000  1.1197e-001  4.8880e+000  0.0000e+000  0.0000e+000  1.2852e+000
 9.100000e-008  0.0000e+000  5.0000e+000  1.6875e-014  5.0000e+000  0.0000e+000  0.0000e+000  1.2850e+000
 9.104022e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2849e+000
 9.144245e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 9.344245e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 9.444245e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 9.644245e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 9.844245e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.2848e+000
 1.000000e-007  4.9631e-014  5.0000e+000  4.9631e-014  5.0000e+000  4.9631e-014  0.0000e+000  1.2848e+000
*

* Parsing                      0.00 seconds
* Setup                        0.03 seconds
* DC operating point           0.09 seconds
* Transient Analysis           0.20 seconds
* Overhead                     2.02 seconds
* -----------------------------------------
* Total                        2.34 seconds

* Simulation completed	with  6 Warnings

* End of T-Spice output file
