* T-Spice 13.00 Simulation	Tue Apr 24 17:47:26 2012	C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.sp
* Command line: tspice -o "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.out" "C:\Documents and Settings\Dhiraj\Desktop\VLSI Designs\4_Input_NOR_Gate\4_Input_NOR_Gate.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 2
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 4                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 1       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 5                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 6       
*         Total nodes - 7       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   2e-007
TRANSIENT ANALYSIS
Time<s>         v(Vin1)<V>   v(Vin2)<V>   v(Vin3)<V>   v(Vin4)<V>   v(Vout)<V>
 3.521374e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.5803e-001
 3.721374e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.5803e-001
 3.921374e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.5803e-001
 4.000000e-008  0.0000e+000  0.0000e+000  5.0000e+000  5.0000e+000  5.5803e-001
 4.025000e-008  0.0000e+000  1.2500e+000  3.7500e+000  3.7500e+000  7.0741e-001
 4.034000e-008  0.0000e+000  1.7000e+000  3.3000e+000  3.3000e+000  7.5798e-001
 4.044710e-008  0.0000e+000  2.2355e+000  2.7645e+000  2.7645e+000  8.3071e-001
 4.055713e-008  0.0000e+000  2.7857e+000  2.2143e+000  2.2143e+000  9.2669e-001
 4.068117e-008  0.0000e+000  3.4059e+000  1.5941e+000  1.5941e+000  1.0799e+000
 4.079903e-008  0.0000e+000  3.9952e+000  1.0048e+000  1.0048e+000  1.1974e+000
 4.091689e-008  0.0000e+000  4.5845e+000  4.1553e-001  4.1553e-001  1.1282e+000
 4.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0302e+000
 4.108310e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0308e+000
 4.191416e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0308e+000
 4.391416e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0308e+000
 4.591416e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0308e+000
 4.791416e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0308e+000
 4.991416e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0309e+000
 5.000000e-008  0.0000e+000  5.0000e+000  0.0000e+000  0.0000e+000  1.0309e+000
 5.025000e-008  0.0000e+000  5.0000e+000  0.0000e+000  1.2500e+000  9.5257e-001
 5.050000e-008  0.0000e+000  5.0000e+000  0.0000e+000  2.5000e+000  7.6547e-001
 5.065750e-008  0.0000e+000  5.0000e+000  0.0000e+000  3.2875e+000  6.8378e-001
 5.081932e-008  0.0000e+000  5.0000e+000  0.0000e+000  4.0966e+000  6.1796e-001
 5.100000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5835e-001
 5.121374e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 5.321374e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 5.521374e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 5.721374e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 5.921374e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 6.000000e-008  0.0000e+000  5.0000e+000  0.0000e+000  5.0000e+000  5.5803e-001
 6.025000e-008  0.0000e+000  5.0000e+000  1.2500e+000  3.7500e+000  6.0047e-001
 6.050000e-008  0.0000e+000  5.0000e+000  2.5000e+000  2.5000e+000  6.0077e-001
 6.075000e-008  0.0000e+000  5.0000e+000  3.7500e+000  1.2500e+000  6.0077e-001
 6.100000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5801e-001
 6.125000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5793e-001
 6.325000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5812e-001
 6.525000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5793e-001
 6.725000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5812e-001
 6.925000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5793e-001
 7.000000e-008  0.0000e+000  5.0000e+000  5.0000e+000  0.0000e+000  5.5812e-001
