* T-Spice 13.00 Simulation	Tue May 14 22:31:06 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\gated_ring_TDC5.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\gated_ring_TDC5.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\gated_ring_TDC5.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 377               MOSFET geometries - 10      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 84      
*   Independent nodes - 1713                 Boundary nodes - 4       
*         Total nodes - 1717    


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-012   1e-008
TRANSIENT ANALYSIS
Time<s>        p(VPower)<W>
 2.626874e-010  8.7594e-003
 2.646874e-010  8.7594e-003
 2.666874e-010  8.7594e-003
 2.686874e-010  8.7594e-003
 2.706874e-010  8.7594e-003
 2.726874e-010  8.7594e-003
 2.746874e-010  8.7594e-003
 2.766874e-010  8.7594e-003
 2.786874e-010  8.7594e-003
 2.806874e-010  8.7594e-003
 2.826874e-010  8.7594e-003
 2.846874e-010  8.7594e-003
 2.866874e-010  8.7594e-003
 2.886874e-010  8.7594e-003
 2.906874e-010  8.7594e-003
 2.926874e-010  8.7594e-003
 2.946874e-010  8.7594e-003
 2.966874e-010  8.7594e-003
 2.986874e-010  8.7594e-003
 3.006874e-010  8.7594e-003
 3.026874e-010  8.7594e-003
 3.046874e-010  8.7594e-003
 3.066874e-010  8.7594e-003
 3.086874e-010  8.7594e-003
 3.106874e-010  8.7594e-003
 3.126874e-010  8.7594e-003
 3.146874e-010  8.7594e-003
 3.166874e-010  8.7594e-003
 3.186874e-010  8.7594e-003
 3.206874e-010  8.7594e-003
 3.226874e-010  8.7594e-003
 3.246874e-010  8.7594e-003
 3.266874e-010  8.7594e-003
 3.286874e-010  8.7594e-003
 3.306874e-010  8.7594e-003
 3.326874e-010  8.7594e-003
 3.346874e-010  8.7594e-003
 3.366874e-010  8.7594e-003
 3.386874e-010  8.7594e-003
 3.406874e-010  8.7594e-003
 3.426874e-010  8.7594e-003
 3.446874e-010  8.7594e-003
 3.466874e-010  8.7594e-003
 3.486874e-010  8.7594e-003
 3.506874e-010  8.7594e-003
 3.526874e-010  8.7594e-003
 3.546874e-010  8.7594e-003
 3.566874e-010  8.7594e-003
 3.586874e-010  8.7594e-003
 3.606874e-010  8.7594e-003
 3.626874e-010  8.7594e-003
 3.646874e-010  8.7594e-003
 3.666874e-010  8.7594e-003
 3.686874e-010  8.7594e-003
