* T-Spice 13.00 Simulation	Sun Feb 03 16:57:35 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\T_B_endocer8x3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33
* Warning : "130nm.md" line 1 Invalid binned model NMOS
*         : "130nm.md" line 1 Binned models must define LMIN, LMAX, WMIN, and WMAX, and have a name suffix of .# (e.g. nch.1)
* Warning : "130nm.md" line 142 Invalid binned model PMOS
*         : "130nm.md" line 142 Binned models must define LMIN, LMAX, WMIN, and WMAX, and have a name suffix of .# (e.g. nch.1)
* Warning : Device Xnew_INV_1.MN1 - Acde = 0.3 is too small.
* Warning : Device MNMOS_10 - Acde = 0.3 is too small.
* Warning : Node B0 is attached to only one device (MNMOS_12)
* Warning : Node B3 is attached to only one device (MNMOS_8)

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 21                MOSFET geometries - 8       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 3       
*   Independent nodes - 53                   Boundary nodes - 4       
*         Total nodes - 57      

* *** 7 WARNING MESSAGES GENERATED DURING SETUP


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-009   1e-006
TRANSIENT ANALYSIS
Time<s>        v(B0,Gnd)<V>  v(D0,Gnd)<V>  v(D1,Gnd)<V>  v(D2,Gnd)<V>
 8.868750e-008  1.7451e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.068750e-008  1.7522e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.268750e-008  1.7452e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.468750e-008  1.7521e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.668750e-008  1.7453e-008  2.7854e+000  2.7854e+000  2.7854e+000
 9.868750e-008  1.7520e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.006875e-007  1.7455e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.026875e-007  1.7519e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.046875e-007  1.7456e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.066875e-007  1.7518e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.086875e-007  1.7457e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.106875e-007  1.7517e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.126875e-007  1.7457e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.146875e-007  1.7516e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.166875e-007  1.7458e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.186875e-007  1.7515e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.206875e-007  1.7459e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.226875e-007  1.7514e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.246875e-007  1.7460e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.266875e-007  1.7514e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.286875e-007  1.7461e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.306875e-007  1.7513e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.326875e-007  1.7461e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.346875e-007  1.7512e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.366875e-007  1.7462e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.386875e-007  1.7512e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.406875e-007  1.7463e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.426875e-007  1.7511e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.446875e-007  1.7463e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.466875e-007  1.7510e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.486875e-007  1.7464e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.506874e-007  1.7510e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.526874e-007  1.7464e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.546874e-007  1.7509e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.566874e-007  1.7465e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.586874e-007  1.7509e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.606874e-007  1.7465e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.626874e-007  1.7508e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.646874e-007  1.7466e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.666874e-007  1.7508e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.686874e-007  1.7466e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.706874e-007  1.7507e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.726874e-007  1.7467e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.746874e-007  1.7507e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.766874e-007  1.7467e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.786874e-007  1.7507e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.806874e-007  1.7468e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.826874e-007  1.7506e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.846874e-007  1.7468e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.866874e-007  1.7506e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.886874e-007  1.7468e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.906874e-007  1.7506e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.926874e-007  1.7469e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.946874e-007  1.7505e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.966874e-007  1.7469e-008  2.7854e+000  2.7854e+000  2.7854e+000
 1.986874e-007  1.7505e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.006874e-007  1.7469e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.026874e-007  1.7505e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.046874e-007  1.7470e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.066874e-007  1.7504e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.086874e-007  1.7470e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.106874e-007  1.7504e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.126874e-007  1.7470e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.146874e-007  1.7504e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.166874e-007  1.7470e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.186874e-007  1.7504e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.206874e-007  1.7471e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.226874e-007  1.7503e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.246874e-007  1.7471e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.266874e-007  1.7503e-008  2.7854e+000  2.7854e+000  2.7854e+000
 2.286874e-007  1.7471e-008  2.7854e+000  2.7854e+000  2.7854e+000
