* T-Spice 13.00 Simulation	Tue May 14 22:30:03 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\vernier_o_TDC3.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 413               MOSFET geometries - 12      
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 91      
*   Independent nodes - 1854                 Boundary nodes - 4       
*         Total nodes - 1858    


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-011   1e-008
TRANSIENT ANALYSIS
Time<s>        p(VPower)<W>
 2.278095e-009  4.2640e-003
 2.298095e-009  4.1429e-003
 2.318095e-009  4.4667e-003
 2.338095e-009  4.2720e-003
 2.358095e-009  4.3396e-003
 2.378095e-009  4.6413e-003
 2.398095e-009  5.8949e-003
 2.418095e-009  6.4860e-003
 2.432988e-009  6.3984e-003
 2.444985e-009  6.4912e-003
 2.455269e-009  5.9113e-003
 2.464639e-009  4.8398e-003
 2.472320e-009  4.9701e-003
 2.481626e-009  3.4881e-003
 2.489054e-009  6.1859e-004
 2.499594e-009  8.9019e-004
 2.500000e-009  6.6588e-004
 2.501000e-009 -1.4906e-002
 2.501450e-009  3.1379e-003
 2.505950e-009  3.4921e-003
 2.515754e-009  4.7449e-003
 2.525331e-009  4.3974e-003
 2.533158e-009  5.3940e-003
 2.542157e-009  5.0972e-003
 2.549403e-009  3.8760e-003
 2.557593e-009  3.8591e-003
 2.564707e-009  3.1573e-003
 2.571826e-009  2.8139e-003
 2.578086e-009  1.8564e-003
 2.584956e-009  2.1604e-003
 2.601634e-009  2.0611e-003
 2.621634e-009  3.0681e-003
 2.641634e-009  3.8289e-003
 2.661634e-009  6.1641e-003
 2.671634e-009  7.1481e-003
 2.680835e-009  8.4408e-003
 2.688522e-009  7.3344e-003
 2.695002e-009  6.7833e-003
 2.700472e-009  6.0262e-003
 2.706855e-009  5.4767e-003
 2.712745e-009  3.5726e-003
 2.718248e-009  2.6837e-003
 2.726448e-009  1.9644e-003
 2.743186e-009  2.0193e-003
 2.763186e-009  1.7834e-003
 2.783186e-009  2.0685e-003
 2.803186e-009  2.0021e-003
 2.823186e-009  2.1172e-003
 2.843186e-009  1.6393e-003
 2.863186e-009  1.9608e-003
 2.883186e-009  1.7580e-003
 2.903186e-009  2.0521e-003
 2.923186e-009  1.9844e-003
 2.943186e-009  2.1163e-003
